127.0.0.1 - - [08/Oct/2022:10:23:34 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [08/Oct/2022:10:23:47 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [08/Oct/2022:10:23:47 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [08/Oct/2022:10:24:10 -0300] "GET /gerenciador/formNovaEmpresa.html HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [08/Oct/2022:10:24:15 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [08/Oct/2022:10:24:22 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [08/Oct/2022:10:24:41 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 393
0:0:0:0:0:0:0:1 - - [08/Oct/2022:10:24:54 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 393
0:0:0:0:0:0:0:1 - - [08/Oct/2022:10:24:56 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 393
0:0:0:0:0:0:0:1 - - [08/Oct/2022:10:24:56 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 393
0:0:0:0:0:0:0:1 - - [08/Oct/2022:10:25:09 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [08/Oct/2022:10:25:18 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [08/Oct/2022:10:25:39 -0300] "GET /gerenciador/formNovaEmpresa.html HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [08/Oct/2022:10:25:43 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [08/Oct/2022:10:25:49 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 405 753
0:0:0:0:0:0:0:1 - - [08/Oct/2022:10:26:30 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [08/Oct/2022:10:26:38 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 404
0:0:0:0:0:0:0:1 - - [08/Oct/2022:10:26:46 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [08/Oct/2022:10:26:53 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [08/Oct/2022:10:26:58 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [08/Oct/2022:10:27:04 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 548
0:0:0:0:0:0:0:1 - - [08/Oct/2022:10:27:11 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [08/Oct/2022:10:27:13 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 500 1597
0:0:0:0:0:0:0:1 - - [08/Oct/2022:10:27:28 -0300] "GET /gerenciador/novaEmpresa HTTP/1.1" 500 1387
0:0:0:0:0:0:0:1 - - [08/Oct/2022:10:27:33 -0300] "GET /gerenciador/formNovaEmpresa.html HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [08/Oct/2022:10:27:38 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [08/Oct/2022:10:27:47 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [08/Oct/2022:10:27:49 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [08/Oct/2022:10:27:51 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [08/Oct/2022:10:27:52 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [08/Oct/2022:10:27:52 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [08/Oct/2022:10:27:52 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [08/Oct/2022:10:27:55 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [08/Oct/2022:10:27:56 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [08/Oct/2022:10:27:57 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [08/Oct/2022:10:28:15 -0300] "GET /gerenciador/novaEmpresa HTTP/1.1" 500 1387
0:0:0:0:0:0:0:1 - - [08/Oct/2022:10:28:21 -0300] "GET /gerenciador/formNovaEmpresa.html HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [08/Oct/2022:10:28:28 -0300] "GET /gerenciador/formNovaEmpresa..jsp HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [08/Oct/2022:10:28:40 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [08/Oct/2022:10:28:45 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 590
0:0:0:0:0:0:0:1 - - [08/Oct/2022:10:28:48 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 635
0:0:0:0:0:0:0:1 - - [08/Oct/2022:10:29:00 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 661
0:0:0:0:0:0:0:1 - - [08/Oct/2022:10:29:11 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 500 1597
0:0:0:0:0:0:0:1 - - [08/Oct/2022:10:29:22 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 747
